Anno;Quartiere;NIL;Uomini;Donne;Totale;Minori;Stranieri;Famiglie registrate in anagrafe;Famiglie unipersonali registrate in anagrafe;80 e più soli fam registrate in anagrafe;Nati vivi;Nati fuori dal matrimonio;Nati con almeno un genitore straniero;Morti;Emigrati;Immigrati;80 e più;65 e più;Prima cittadinanza;residenti prima cittadinanza;Seconda cittadinanza;residenti seconda cittadinanza;Terza cittadinanza;residenti terza cittadinanza;Scuola dell'infanzia (numero);Scuola primaria (numero);Scuola secondaria di primo grado (numero);Area (metri quadrati)
2011;Adriano;17;7188;7042;14230;2712;2538;6942;2947;243;160;48;48;70;341;896;476;2141;Filippine;449;Cinese, Repubblica Popolare;328;Egitto;275;4;1;0;2431560,11
2011;Affori;80;11497;11564;23061;3721;6276;11974;5987;634;229;76;102;201;552;994;1226;4623;Cinese, Repubblica Popolare;1333;Egitto;979;Filippine;903;5;3;2;2070893,65
2011;Assiano;87;156;138;294;71;27;121;52;6;4;4;2;1;32;15;8;35;Paesi Bassi;9;Croazia;5;Serbia, Repubblica di;3;0;0;0;5844580,12
2011;Baggio - Q.re degli Olmi - Q.re Valsesia;55;14029;15565;29594;4468;4545;14459;6033;914;230;92;89;320;673;909;2003;7741;Filippine;892;Perù;687;Egitto;488;7;3;2;3478599,96
2011;Bande Nere;52;19693;23762;43455;5994;5915;23861;11846;2040;347;114;104;593;1009;1335;4443;12772;Filippine;1253;Perù;521;Egitto;520;14;7;7;2663880,93
2011;Barona;46;8090;9241;17331;2381;1944;8185;2966;522;87;36;32;253;390;271;1312;5179;Egitto;494;Marocco;221;Filippine;188;3;3;1;2006324,59
2011;Bicocca;15;3502;3410;6912;1242;1076;3479;1616;130;62;17;27;44;288;379;257;1118;Egitto;166;Filippine;122;Ecuador;84;0;0;0;1534521,13
2011;Bovisa;77;6410;6177;12587;1834;4025;7093;4096;436;126;41;72;82;356;684;745;2337;Egitto;949;Cinese, Repubblica Popolare;657;Filippine;452;4;2;1;1913132,63
2011;Bovisasca;81;3467;3868;7335;1089;883;3400;1254;200;51;21;20;97;167;165;525;1901;Perù;105;Egitto;104;Cinese, Repubblica Popolare;84;3;1;1;1576826,44
2011;Brera;2;8247;9847;18094;2840;2523;10196;5592;667;152;50;26;146;535;683;1224;4063;Filippine;445;Sri Lanka (ex Ceylon);249;Perù;138;6;6;5;1637395,23
