Id_NIL;NIL;Titolo di studio;Valori
1;Duomo  ;Nessun titolo o licenza elementare;1845
2;Brera  ;Nessun titolo o licenza elementare;1841
3;Giardini Porta Venezia  ;Nessun titolo o licenza elementare;16
4;Guastalla  ;Nessun titolo o licenza elementare;1641
5;Vigentina  ;Nessun titolo o licenza elementare;1582
6;Ticinese  ;Nessun titolo o licenza elementare;2691
7;Magenta - S. Vittore  ;Nessun titolo o licenza elementare;1746
9;Garibaldi Repubblica  ;Nessun titolo o licenza elementare;724
10;Centrale  ;Nessun titolo o licenza elementare;2177
11;Isola  ;Nessun titolo o licenza elementare;3670
12;Maciachini - Maggiolina  ;Nessun titolo o licenza elementare;3717
13;Greco  ;Nessun titolo o licenza elementare;2387
14;Niguarda - Ca Granda ;Nessun titolo o licenza elementare;7828
15;Bicocca  ;Nessun titolo o licenza elementare;1156
16;Viale Monza  ;Nessun titolo o licenza elementare;4922
17;Adriano  ;Nessun titolo o licenza elementare;2631
18;Parco Lambro - Cimiano  ;Nessun titolo o licenza elementare;3704
19;Padova  ;Nessun titolo o licenza elementare;7069
20;Loreto  ;Nessun titolo o licenza elementare;6475
21;Buenos Aires - Venezia  ;Nessun titolo o licenza elementare;7718
22;Citt_tudi  ;Nessun titolo o licenza elementare;5066
23;Lambrate  ;Nessun titolo o licenza elementare;1763
24;Parco Forlanini - Ortica  ;Nessun titolo o licenza elementare;166
25;Corsica  ;Nessun titolo o licenza elementare;2476
26;XXII Marzo  ;Nessun titolo o licenza elementare;4529
27;Porta Romana  ;Nessun titolo o licenza elementare;2261
28;Umbria - Molise  ;Nessun titolo o licenza elementare;3803
29;Ortomercato  ;Nessun titolo o licenza elementare;766
30;Mecenate  ;Nessun titolo o licenza elementare;4324
31;Parco Monluè Ponte Lambro  ;Nessun titolo o licenza elementare;1137
32;Triulzo Superiore  ;Nessun titolo o licenza elementare;243
33;Rogoredo  ;Nessun titolo o licenza elementare;1438
34;Chiaravalle  ;Nessun titolo o licenza elementare;203
35;Lodi - Corvetto  ;Nessun titolo o licenza elementare;6901
36;Scalo Romana  ;Nessun titolo o licenza elementare;2125
37;Ex OM - Morivione  ;Nessun titolo o licenza elementare;1542
38;Ripamonti  ;Nessun titolo o licenza elementare;2103
39;Quintosole  ;Nessun titolo o licenza elementare;147
40;Ronchetto delle Rane  ;Nessun titolo o licenza elementare;180
41;Gratosoglio - Ticinello  ;Nessun titolo o licenza elementare;5017
42;Stadera  ;Nessun titolo o licenza elementare;5526
43;Tibaldi  ;Nessun titolo o licenza elementare;1868
44;Navigli  ;Nessun titolo o licenza elementare;2702
45;S. Cristoforo  ;Nessun titolo o licenza elementare;2562
46;Barona  ;Nessun titolo o licenza elementare;4478
47;Cantalupa  ;Nessun titolo o licenza elementare;46
48;Ronchetto sul Naviglio  ;Nessun titolo o licenza elementare;3436
49;Giambellino  ;Nessun titolo o licenza elementare;5737
50;Tortona  ;Nessun titolo o licenza elementare;2002
51;Washington  ;Nessun titolo o licenza elementare;3211
52;Bande Nere  ;Nessun titolo o licenza elementare;6575
53;Lorenteggio  ;Nessun titolo o licenza elementare;2629
54;Muggiano  ;Nessun titolo o licenza elementare;515
55;Baggio  ;Nessun titolo o licenza elementare;7479
56;Forze Armate  ;Nessun titolo o licenza elementare;5498
57;Selinunte  ;Nessun titolo o licenza elementare;5243
58;De Angeli - Monte Rosa  ;Nessun titolo o licenza elementare;2362
59;Tre Torri  ;Nessun titolo o licenza elementare;142
60;S. Siro  ;Nessun titolo o licenza elementare;1809
61;Quarto Cagnino  ;Nessun titolo o licenza elementare;1940
62;Quinto Romano  ;Nessun titolo o licenza elementare;1086
63;Figino  ;Nessun titolo o licenza elementare;381
64;Trenno  ;Nessun titolo o licenza elementare;907
65;Gallaratese  ;Nessun titolo o licenza elementare;7933
66;QT 8;Nessun titolo o licenza elementare;592
67;Portello  ;Nessun titolo o licenza elementare;873
68;Pagano  ;Nessun titolo o licenza elementare;1868
69;Sarpi  ;Nessun titolo o licenza elementare;4201
70;Ghisolfa  ;Nessun titolo o licenza elementare;2515
71;Villapizzone  ;Nessun titolo o licenza elementare;7632
72;Maggiore - Musocco  ;Nessun titolo o licenza elementare;843
73;Cascina Triulza - Expo  ;Nessun titolo o licenza elementare;40
74;Sacco  ;Nessun titolo o licenza elementare;46
75;Stephenson  ;Nessun titolo o licenza elementare;6
76;Quarto Oggiaro  ;Nessun titolo o licenza elementare;8844
77;Bovisa  ;Nessun titolo o licenza elementare;2262
78;Farini  ;Nessun titolo o licenza elementare;477
79;Dergano  ;Nessun titolo o licenza elementare;3805
80;Affori  ;Nessun titolo o licenza elementare;4457
81;Bovisasca  ;Nessun titolo o licenza elementare;1558
82;Comasina  ;Nessun titolo o licenza elementare;2338
83;Bruzzano  ;Nessun titolo o licenza elementare;2562
84;Parco Nord  ;Nessun titolo o licenza elementare;31
85;Parco delle Abbazie  ;Nessun titolo o licenza elementare;84
86;Parco dei Navigli  ;Nessun titolo o licenza elementare;60
87;Parco Agricolo Sud  ;Nessun titolo o licenza elementare;114
88;Parco Bosco in Citta'  ;Nessun titolo o licenza elementare;158
1;Duomo  ;Licenza di scuola media inferiore o di avviamento professionale;2282
2;Brera  ;Licenza di scuola media inferiore o di avviamento professionale;2298
3;Giardini Porta Venezia  ;Licenza di scuola media inferiore o di avviamento professionale;21
4;Guastalla  ;Licenza di scuola media inferiore o di avviamento professionale;2012
5;Vigentina  ;Licenza di scuola media inferiore o di avviamento professionale;1820
6;Ticinese  ;Licenza di scuola media inferiore o di avviamento professionale;3097
7;Magenta - S. Vittore  ;Licenza di scuola media inferiore o di avviamento professionale;2289
9;Garibaldi Repubblica  ;Licenza di scuola media inferiore o di avviamento professionale;1002
10;Centrale  ;Licenza di scuola media inferiore o di avviamento professionale;3015
11;Isola  ;Licenza di scuola media inferiore o di avviamento professionale;4393
12;Maciachini - Maggiolina  ;Licenza di scuola media inferiore o di avviamento professionale;5508
13;Greco  ;Licenza di scuola media inferiore o di avviamento professionale;3239
